framework,strategy,mode,property,mutation,trial,status,tests,discards,shrinking_passed,shrinking_failed,shrinking_discarded,exec_time_pre,gen_time,time_shrinking,time_pre_failure,pre_size,cex_size,gt_size,pre_ted_to_gt,ted_to_gt
Quick,QuickGbE,none,DeleteModel,delete_4,7,Failed,3,0,0,0,0,2.49999575316906e-05,0.000215000007301569,0.0002269999822601676,0.0002399999648332596,20,20,12,11.0,11.0
Quick,QuickGbE,none,DeleteModel,delete_4,8,Failed,2,0,0,0,0,2.5000073947012424e-05,0.0002300000051036477,0.00021500000730156896,0.00025500007905066013,20,20,12,11.0,11.0
Quick,QuickGbE,none,DeleteModel,delete_4,9,Failed,3,0,0,0,0,2.49999575316906e-05,0.0002120001008734107,0.00020899996161460876,0.0002370000584051013,20,20,12,11.0,11.0
Quick,Quick,none,DeletePost,delete_4,0,Failed,8098,21203,0,0,0,0.01611400058027357,0.016469999449327588,0.00030099996365606785,0.03258400002960116,13,13,13,4.0,4.0
Quick,Quick,none,DeletePost,delete_4,1,Failed,29074,75692,0,0,0,0.05417699401732534,0.054840005934238434,0.0004760000156238675,0.10901699995156378,13,13,13,4.0,4.0
Quick,Quick,none,DeletePost,delete_4,2,Failed,27240,71436,0,0,0,0.05241600482258946,0.05520099517889322,0.0005179999861866236,0.10761700000148268,13,13,13,4.0,4.0
Quick,Quick,none,DeletePost,delete_4,3,Failed,5885,15598,0,0,0,0.011471000383608043,0.01229199965018779,0.00026999996043741703,0.023763000033795834,13,13,13,4.0,4.0
Quick,Quick,none,DeletePost,delete_4,4,Failed,1144,2977,0,0,0,0.0024829998146742582,0.002836000174283982,0.0002429999876767397,0.00531899998895824,13,13,13,4.0,4.0
Quick,Quick,none,DeletePost,delete_4,5,Failed,2519,6416,0,0,0,0.005244000116363168,0.005056999856606126,0.0002559999702498317,0.010300999972969294,21,21,13,12.0,12.0
Quick,Quick,none,DeletePost,delete_4,6,Failed,13048,34371,0,0,0,0.02572500635869801,0.025541993672959507,0.0005009999731555581,0.05126700003165752,13,13,13,4.0,4.0
Quick,Quick,none,DeletePost,delete_4,7,Failed,16122,42975,0,0,0,0.02950100600719452,0.031258994014933705,0.0004940000362694263,0.060760000022128224,13,13,13,4.0,4.0
Quick,Quick,none,DeletePost,delete_4,8,Failed,7531,19744,0,0,0,0.0141339972615242,0.01541800273116678,0.00025299994740635157,0.02955199999269098,13,13,13,4.0,4.0
Quick,Quick,none,DeletePost,delete_4,9,Failed,4954,13026,0,0,0,0.009203995461575689,0.0101830045459792,0.00027600000612437725,0.01938700000755489,13,13,13,4.0,4.0
Quick,QuickGbE,none,DeletePost,delete_4,0,Failed,2,0,0,0,0,2.49999575316906e-05,0.00023300002794712782,0.0002139999996870756,0.0002579999854788184,21,21,13,11.0,11.0
Quick,QuickGbE,none,DeletePost,delete_4,1,Failed,2,0,0,0,0,2.1000043489038944e-05,0.0002389999572187662,0.00021500000730156896,0.00026000000070780516,13,13,13,4.0,4.0
Quick,QuickGbE,none,DeletePost,delete_4,2,Failed,20,0,0,0,0,5.799985956400633e-05,0.00021700013894587755,0.0002190000377595425,0.0002749999985098839,85,85,13,76.0,76.0
Quick,QuickGbE,none,DeletePost,delete_4,3,Failed,5,0,0,0,0,2.5000073947012424e-05,0.00022299995180219412,0.00021500000730156896,0.00024800002574920654,21,21,13,12.0,12.0
Quick,QuickGbE,none,DeletePost,delete_4,4,Failed,2,0,0,0,0,2.200005110353231e-05,0.00022799987345933914,0.00022400007583200932,0.00024999992456287146,13,13,13,4.0,4.0
Quick,QuickGbE,none,DeletePost,delete_4,5,Failed,4,0,0,0,0,2.6000081561505795e-05,0.00023100001271814108,0.0002169999061152339,0.0002570000942796469,37,37,13,27.0,27.0
Quick,QuickGbE,none,DeletePost,delete_4,6,Failed,10,0,0,0,0,3.899994771927595e-05,0.00022500008344650269,0.0002180000301450491,0.00026400003116577864,37,37,13,28.0,28.0
Quick,QuickGbE,none,DeletePost,delete_4,7,Failed,1,0,0,0,0,2.0000035874545578e-05,0.00022000004537403584,0.0002079999540001154,0.0002400000812485814,13,13,13,3.0,3.0
Quick,QuickGbE,none,DeletePost,delete_4,8,Failed,12,0,0,0,0,3.599992487579584e-05,0.00023200002033263445,0.00023200002033263445,0.0002679999452084303,69,69,13,60.0,60.0
Quick,QuickGbE,none,DeletePost,delete_4,9,Failed,5,0,0,0,0,2.799986395984888e-05,0.00022500008344650269,0.00021299999207258224,0.00025299994740635157,21,21,13,12.0,12.0
Quick,Quick,none,DeleteInsert,delete_4,0,Failed,0,0,0,0,0,1.3999990187585354e-05,0.0002269999822601676,0.00022000004537403584,0.00024099997244775295,6,6,6,3.0,3.0
Quick,Quick,none,DeleteInsert,delete_4,1,Failed,0,7,0,0,0,2.5999965146183968e-05,0.00022500008344650269,0.00021799991372972727,0.00025100004859268665,6,6,6,3.0,3.0
Quick,Quick,none,DeleteInsert,delete_4,2,Failed,0,1,0,0,0,2.0999927073717117e-05,0.00023200013674795628,0.00022099993657320735,0.0002530000638216734,6,6,6,3.0,3.0
Quick,Quick,none,DeleteInsert,delete_4,3,Failed,0,2,0,0,0,2.0000035874545578e-05,0.00021399999968707561,0.00021199998445808887,0.0002340000355616212,6,6,6,3.0,3.0
Quick,Quick,none,DeleteInsert,delete_4,4,Failed,0,1,0,0,0,1.8000020645558834e-05,0.0002300000051036477,0.0002289999974891543,0.00024800002574920654,6,6,6,3.0,3.0
Quick,Quick,none,DeleteInsert,delete_4,5,Failed,0,0,0,0,0,1.4999997802078724e-05,0.0002269999822601676,0.0002099999692291021,0.00024199998006224632,6,6,6,3.0,3.0
Quick,Quick,none,DeleteInsert,delete_4,6,Failed,0,2,0,0,0,1.900014467537403e-05,0.00026799982879310846,0.0002109999768435955,0.0002869999734684825,6,6,6,3.0,3.0
Quick,Quick,none,DeleteInsert,delete_4,7,Failed,0,0,0,0,0,1.6000005416572094e-05,0.0001900000497698784,0.0002050000475719571,0.00020600005518645048,6,6,6,3.0,3.0
Quick,Quick,none,DeleteInsert,delete_4,8,Failed,0,1,0,0,0,1.9999919459223747e-05,0.00024100008886307478,0.0002300000051036477,0.0002610000083222985,6,6,6,3.0,3.0
Quick,Quick,none,DeleteInsert,delete_4,9,Failed,0,5,0,0,0,0.00010499986819922924,0.00047500012442469597,0.00029800005722790956,0.0005799999926239252,6,6,6,3.0,3.0
Quick,QuickGbE,none,DeleteInsert,delete_4,0,Failed,1,0,0,0,0,2.1999934688210487e-05,0.00020200014114379883,0.00020399992354214191,0.00022400007583200932,14,14,6,8.0,8.0
Quick,QuickGbE,none,DeleteInsert,delete_4,1,Failed,1,0,0,0,0,2.200005110353231e-05,0.00023799994960427284,0.0002210000529885292,0.00026000000070780516,14,14,6,9.0,9.0
Quick,QuickGbE,none,DeleteInsert,delete_4,2,Failed,2,0,0,0,0,2.799986395984888e-05,0.00023000012151896954,0.0002139999996870756,0.0002579999854788184,22,22,6,17.0,17.0
