workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"bst-haskell","Quick","InsertPost",["insert_1"],"solve",9884.50,484.40,100.00,0.0429
"bst-haskell","Quick","InsertPost",["insert_2"],"solve",15410.90,3625.00,100.00,0.0655
"bst-haskell","Quick","InsertPost",["insert_3"],"solve",18158866.00,2610990.90,100.00,73.4279
"bst-haskell","Quick","InsertModel",["insert_1"],"solve",7.60,1.20,100.00,0.0009
"bst-haskell","Quick","InsertModel",["insert_2"],"solve",10.10,4.20,100.00,0.0011
"bst-haskell","Quick","InsertModel",["insert_3"],"solve",6080.40,1869.20,100.00,0.0273
"bst-haskell","Quick","DeleteInsert",["insert_1"],"solve",9041.20,4206.40,100.00,0.0374
"bst-haskell","Quick","DeleteInsert",["insert_2"],"solve",7798.00,2995.50,100.00,0.0341
"bst-haskell","Quick","DeleteInsert",["delete_4"],"solve",0.00,0.20,100.00,0.0009
"bst-haskell","Quick","DeleteInsert",["delete_5"],"solve",10326.50,561.70,100.00,0.0462
"bst-haskell","Quick","InsertInsert",["insert_1"],"solve",0.00,0.70,100.00,0.0009
"bst-haskell","Quick","InsertInsert",["insert_2"],"solve",0.30,0.60,100.00,0.0010
"bst-haskell","Quick","InsertInsert",["insert_3"],"solve",1969.60,225.30,100.00,0.0104
"bst-haskell","Quick","InsertUnion",["insert_1"],"solve",6.30,3.00,100.00,0.0010
"bst-haskell","Quick","InsertUnion",["insert_2"],"solve",8.90,3.70,100.00,0.0013
"bst-haskell","Quick","InsertUnion",["insert_3"],"solve",10920.20,3437.50,100.00,0.1552
"bst-haskell","Quick","InsertUnion",["union_6"],"solve",11.40,0.40,100.00,0.0012
"bst-haskell","Quick","InsertUnion",["union_7"],"solve",42.80,28.70,100.00,0.0022
"bst-haskell","Quick","InsertUnion",["union_8"],"solve",53785.60,17869.10,100.00,0.7209
"bst-haskell","Quick","UnionDeleteInsert",["insert_1"],"solve",5.30,14.50,100.00,0.0010
"bst-haskell","Quick","UnionDeleteInsert",["insert_2"],"solve",12.00,4.90,100.00,0.0012
"bst-haskell","Quick","UnionDeleteInsert",["insert_3"],"solve",9299.40,4456.10,100.00,0.1336
"bst-haskell","Quick","UnionDeleteInsert",["delete_4"],"solve",5.60,7.60,100.00,0.0010
"bst-haskell","Quick","UnionDeleteInsert",["delete_5"],"solve",25736.00,3795.20,100.00,0.3603
"bst-haskell","Quick","UnionDeleteInsert",["union_6"],"solve",9.90,17.20,100.00,0.0012
"bst-haskell","Quick","UnionDeleteInsert",["union_7"],"solve",48.30,20.20,100.00,0.0018
"bst-haskell","Quick","UnionDeleteInsert",["union_8"],"solve",NaN,NaN,NaN,NaN
"bst-haskell","Quick","InsertDelete",["insert_2"],"solve",29339.50,6529.90,100.00,0.1238
"bst-haskell","Quick","InsertDelete",["insert_3"],"solve",13486460.70,873001.00,100.00,55.7797
"bst-haskell","Quick","InsertDelete",["delete_4"],"solve",0.00,0.00,100.00,0.0009
"bst-haskell","Quick","DeleteModel",["delete_4"],"solve",4.00,0.60,100.00,0.0013
"bst-haskell","Quick","DeleteModel",["delete_5"],"solve",37744.90,12459.30,100.00,0.1517
"bst-haskell","Quick","DeletePost",["delete_4"],"solve",11436.00,2719.00,100.00,0.0463
"bst-haskell","Quick","DeletePost",["delete_5"],"solve",NaN,NaN,NaN,NaN
"bst-haskell","Quick","DeleteDelete",["delete_4"],"solve",NaN,NaN,NaN,NaN
"bst-haskell","Quick","DeleteDelete",["delete_5"],"solve",NaN,NaN,NaN,NaN
"bst-haskell","Quick","DeleteUnion",["delete_4"],"solve",50638.40,12850.40,100.00,0.7103
"bst-haskell","Quick","DeleteUnion",["delete_5"],"solve",87388.40,161206.70,100.00,1.1773
"bst-haskell","Quick","DeleteUnion",["union_6"],"solve",121162.10,139907.00,100.00,1.6563
"bst-haskell","Quick","DeleteUnion",["union_7"],"solve",223861.20,373041.20,100.00,3.0691
"bst-haskell","Quick","DeleteUnion",["union_8"],"solve",NaN,NaN,NaN,NaN
"bst-haskell","Quick","UnionValid",["union_6"],"solve",47.30,22.00,100.00,0.0019
"bst-haskell","Quick","UnionValid",["union_7"],"solve",179.30,37.40,100.00,0.0047
"bst-haskell","Quick","UnionPost",["union_6"],"solve",2881.10,130.10,100.00,0.0137
"bst-haskell","Quick","UnionPost",["union_7"],"solve",20258.30,2496.70,100.00,0.0853
"bst-haskell","Quick","UnionPost",["union_8"],"solve",26566276.70,3670902.90,100.00,107.7557
"bst-haskell","Quick","UnionModel",["union_6"],"solve",41.20,97.50,100.00,0.0018
"bst-haskell","Quick","UnionModel",["union_7"],"solve",248.50,312.50,100.00,0.0050
"bst-haskell","Quick","UnionModel",["union_8"],"solve",250417.60,64255.40,100.00,3.2769
"bst-haskell","Quick","UnionUnionAssoc",["union_6"],"solve",141.90,179.70,100.00,0.0082
"bst-haskell","Quick","UnionUnionAssoc",["union_7"],"solve",97.40,7.50,100.00,0.0061
"bst-haskell","Quick","UnionUnionAssoc",["union_8"],"solve",224040.70,1190390.10,100.00,9.5427
"bst-haskell","QuickCBC","InsertPost",["insert_1"],"solve",316.70,0.00,100.00,0.0021
"bst-haskell","QuickCBC","InsertPost",["insert_2"],"solve",2371.90,0.00,100.00,0.0086
"bst-haskell","QuickCBC","InsertPost",["insert_3"],"solve",245766.00,0.00,100.00,0.7111
"bst-haskell","QuickCBC","InsertModel",["insert_1"],"solve",0.40,0.00,100.00,0.0009
"bst-haskell","QuickCBC","InsertModel",["insert_2"],"solve",0.60,0.00,100.00,0.0010
"bst-haskell","QuickCBC","InsertModel",["insert_3"],"solve",332.10,0.00,100.00,0.0027
"bst-haskell","QuickCBC","DeleteInsert",["insert_1"],"solve",2165.40,0.00,100.00,0.0074
"bst-haskell","QuickCBC","DeleteInsert",["insert_2"],"solve",1522.00,0.00,100.00,0.0073
"bst-haskell","QuickCBC","DeleteInsert",["delete_4"],"solve",0.00,0.00,100.00,0.0009
"bst-haskell","QuickCBC","DeleteInsert",["delete_5"],"solve",4917.60,0.00,100.00,0.0206
"bst-haskell","QuickCBC","InsertInsert",["insert_1"],"solve",0.00,0.00,100.00,0.0008
"bst-haskell","QuickCBC","InsertInsert",["insert_2"],"solve",0.20,0.00,100.00,0.0010
"bst-haskell","QuickCBC","InsertInsert",["insert_3"],"solve",2517.40,0.00,100.00,0.0120
"bst-haskell","QuickCBC","InsertUnion",["insert_1"],"solve",0.20,0.00,100.00,0.0009
"bst-haskell","QuickCBC","InsertUnion",["insert_2"],"solve",3.50,0.00,100.00,0.0011
"bst-haskell","QuickCBC","InsertUnion",["insert_3"],"solve",213.20,0.00,100.00,0.0030
"bst-haskell","QuickCBC","InsertUnion",["union_6"],"solve",1.00,0.00,100.00,0.0010
"bst-haskell","QuickCBC","InsertUnion",["union_7"],"solve",1.90,0.00,100.00,0.0011
"bst-haskell","QuickCBC","InsertUnion",["union_8"],"solve",257.10,0.00,100.00,0.0034
"bst-haskell","QuickCBC","UnionDeleteInsert",["insert_1"],"solve",0.40,0.00,100.00,0.0010
"bst-haskell","QuickCBC","UnionDeleteInsert",["insert_2"],"solve",0.90,0.00,100.00,0.0010
"bst-haskell","QuickCBC","UnionDeleteInsert",["insert_3"],"solve",214.80,0.00,100.00,0.0031
"bst-haskell","QuickCBC","UnionDeleteInsert",["delete_4"],"solve",0.30,0.00,100.00,0.0010
"bst-haskell","QuickCBC","UnionDeleteInsert",["delete_5"],"solve",143.70,0.00,100.00,0.0025
"bst-haskell","QuickCBC","UnionDeleteInsert",["union_6"],"solve",1.40,0.00,100.00,0.0011
"bst-haskell","QuickCBC","UnionDeleteInsert",["union_7"],"solve",3.30,0.00,100.00,0.0010
"bst-haskell","QuickCBC","UnionDeleteInsert",["union_8"],"solve",76230.90,0.00,100.00,0.5634
"bst-haskell","QuickCBC","InsertDelete",["insert_2"],"solve",3722.20,0.00,100.00,0.0157
"bst-haskell","QuickCBC","InsertDelete",["insert_3"],"solve",332516.90,0.00,100.00,1.3040
"bst-haskell","QuickCBC","InsertDelete",["delete_4"],"solve",0.00,0.00,100.00,0.0009
"bst-haskell","QuickCBC","DeleteModel",["delete_4"],"solve",0.00,0.00,100.00,0.0010
"bst-haskell","QuickCBC","DeleteModel",["delete_5"],"solve",337.60,0.00,100.00,0.0024
"bst-haskell","QuickCBC","DeletePost",["delete_4"],"solve",263.00,0.00,100.00,0.0019
"bst-haskell","QuickCBC","DeletePost",["delete_5"],"solve",575818.00,0.00,100.00,1.5921
"bst-haskell","QuickCBC","DeleteDelete",["delete_4"],"solve",163361.20,0.00,100.00,0.4696
"bst-haskell","QuickCBC","DeleteDelete",["delete_5"],"solve",1896278.80,0.00,100.00,6.9248
"bst-haskell","QuickCBC","DeleteUnion",["delete_4"],"solve",383.40,0.00,100.00,0.0034
"bst-haskell","QuickCBC","DeleteUnion",["delete_5"],"solve",5131.60,0.00,100.00,0.0388
"bst-haskell","QuickCBC","DeleteUnion",["union_6"],"solve",283.20,0.00,100.00,0.0034
"bst-haskell","QuickCBC","DeleteUnion",["union_7"],"solve",212.30,0.00,100.00,0.0030
"bst-haskell","QuickCBC","DeleteUnion",["union_8"],"solve",46503.40,0.00,100.00,0.3301
"bst-haskell","QuickCBC","UnionValid",["union_6"],"solve",1.90,0.00,100.00,0.0010
"bst-haskell","QuickCBC","UnionValid",["union_7"],"solve",0.80,0.00,100.00,0.0011
"bst-haskell","QuickCBC","UnionPost",["union_6"],"solve",248.90,0.00,100.00,0.0018
"bst-haskell","QuickCBC","UnionPost",["union_7"],"solve",433.90,0.00,100.00,0.0027
"bst-haskell","QuickCBC","UnionPost",["union_8"],"solve",90857.20,0.00,100.00,0.2849
"bst-haskell","QuickCBC","UnionModel",["union_6"],"solve",1.40,0.00,100.00,0.0010
"bst-haskell","QuickCBC","UnionModel",["union_7"],"solve",0.70,0.00,100.00,0.0011
"bst-haskell","QuickCBC","UnionModel",["union_8"],"solve",32.40,0.00,100.00,0.0019
"bst-haskell","QuickCBC","UnionUnionAssoc",["union_6"],"solve",2.30,0.00,100.00,0.0011
"bst-haskell","QuickCBC","UnionUnionAssoc",["union_7"],"solve",1.30,0.00,100.00,0.0012
"bst-haskell","QuickCBC","UnionUnionAssoc",["union_8"],"solve",27.80,0.00,100.00,0.0018
"bst-haskell","QuickGbE","InsertPost",["insert_1"],"solve",7.50,0.00,100.00,0.0009
"bst-haskell","QuickGbE","InsertPost",["insert_2"],"solve",28.50,0.00,100.00,0.0012
"bst-haskell","QuickGbE","InsertPost",["insert_3"],"solve",283.90,0.00,100.00,0.0041
"bst-haskell","QuickGbE","InsertModel",["insert_1"],"solve",2.10,0.00,100.00,0.0018
"bst-haskell","QuickGbE","InsertModel",["insert_2"],"solve",3.40,0.00,100.00,0.0009
"bst-haskell","QuickGbE","InsertModel",["insert_3"],"solve",4.10,0.00,100.00,0.0009
"bst-haskell","QuickGbE","DeleteInsert",["insert_1"],"solve",27.10,0.00,100.00,0.0010
"bst-haskell","QuickGbE","DeleteInsert",["insert_2"],"solve",13.70,0.00,100.00,0.0011
"bst-haskell","QuickGbE","DeleteInsert",["delete_4"],"solve",1.50,0.00,100.00,0.0009
"bst-haskell","QuickGbE","DeleteInsert",["delete_5"],"solve",15.90,0.00,100.00,0.0012
"bst-haskell","QuickGbE","InsertInsert",["insert_1"],"solve",1.30,0.00,100.00,0.0008
"bst-haskell","QuickGbE","InsertInsert",["insert_2"],"solve",1.50,0.00,100.00,0.0009
"bst-haskell","QuickGbE","InsertInsert",["insert_3"],"solve",20.50,0.00,100.00,0.0010
"bst-haskell","QuickGbE","InsertUnion",["insert_1"],"solve",1.80,0.00,100.00,0.0009
"bst-haskell","QuickGbE","InsertUnion",["insert_2"],"solve",5.40,0.00,100.00,0.0010
"bst-haskell","QuickGbE","InsertUnion",["insert_3"],"solve",6.00,0.00,100.00,0.0010
"bst-haskell","QuickGbE","InsertUnion",["union_6"],"solve",3.00,0.00,100.00,0.0010
"bst-haskell","QuickGbE","InsertUnion",["union_7"],"solve",4.90,0.00,100.00,0.0010
"bst-haskell","QuickGbE","InsertUnion",["union_8"],"solve",13.40,0.00,100.00,0.0011
"bst-haskell","QuickGbE","UnionDeleteInsert",["insert_1"],"solve",1.70,0.00,100.00,0.0008
