framework,strategy,mode,property,mutation,trial,status,tests,discards,shrinking_passed,shrinking_failed,shrinking_discarded,exec_time_pre,gen_time,time_shrinking,time_pre_failure,pre_size,cex_size,gt_size,pre_ted_to_gt,ted_to_gt
Quick,Quick,default,SinglePreserve,tshift_tvar_no_incr,7,Failed,11,11942,0,0,0,0.006781999487429857,0.007807000540196896,0.0002460000105202198,0.014589000027626753,25,25,16,12.0,12.0
Quick,Quick,default,SinglePreserve,tshift_tvar_no_incr,8,Failed,73,150571,0,0,0,0.0907469952944666,0.08176900469698013,0.0002620001323521137,0.17251599999144673,51,51,16,47.0,47.0
Quick,Quick,default,SinglePreserve,tshift_tvar_no_incr,9,Failed,46,86060,0,0,0,0.05098199844360352,0.047083001583814614,0.0003249999135732651,0.09806500002741814,36,36,16,29.0,29.0
Quick,Quick,default,MultiPreserve,tshift_tvar_no_incr,0,Failed,192,408856,0,0,0,0.24101899075321853,0.21566500910557806,0.0004180001560598612,0.4566839998587966,27,27,16,15.0,15.0
Quick,Quick,default,MultiPreserve,tshift_tvar_no_incr,1,Failed,9,5456,0,0,0,0.003733001183718443,0.0032789986580610275,0.0002870000898838043,0.0070119998417794704,40,40,16,37.0,37.0
Quick,Quick,default,MultiPreserve,tshift_tvar_no_incr,2,Failed,335,691408,0,0,0,0.4208220017608255,0.43639999837614596,0.00047399988397955894,0.8572220001369715,40,40,16,35.0,35.0
Quick,Quick,default,MultiPreserve,tshift_tvar_no_incr,3,Failed,95,151843,0,0,0,0.09005499514751136,0.08126700483262539,0.0004419998731464147,0.17132199998013675,28,28,16,16.0,16.0
Quick,Quick,default,MultiPreserve,tshift_tvar_no_incr,4,Failed,44,77373,0,0,0,0.046302992617711425,0.04247000743634999,0.000260000117123127,0.08877300005406141,74,74,16,78.0,78.0
Quick,Quick,default,MultiPreserve,tshift_tvar_no_incr,5,Failed,13,7042,0,0,0,0.004639000166207552,0.004427999956533313,0.00024800002574920654,0.009067000122740865,40,40,16,32.0,32.0
Quick,Quick,default,MultiPreserve,tshift_tvar_no_incr,6,Failed,46,103758,0,0,0,0.06263699871487916,0.05732400133274497,0.0004629998002201319,0.11996100004762413,28,28,16,16.0,16.0
Quick,Quick,default,MultiPreserve,tshift_tvar_no_incr,7,Failed,116,241975,0,0,0,0.14259400870651007,0.1315229912288487,0.0004430001135915518,0.27411699993535876,48,48,16,43.0,43.0
Quick,Quick,default,MultiPreserve,tshift_tvar_no_incr,8,Failed,109,233508,0,0,0,0.13925000466406345,0.1281819953583181,0.00045299995690584183,0.26743200002238154,25,25,16,15.0,15.0
Quick,Quick,default,MultiPreserve,tshift_tvar_no_incr,9,Failed,47,92667,0,0,0,0.05555600393563509,0.05141299613751471,0.00025200005620718,0.1069690000731498,37,37,16,29.0,29.0
Quick,Quick,default,SinglePreserve,tshift_all_no_incr,0,Failed,1255,2632272,0,0,0,1.5843600421212614,1.444662957917899,0.00032199989072978497,3.0290230000391603,61,61,19,58.0,58.0
Quick,Quick,default,SinglePreserve,tshift_all_no_incr,1,Failed,420,897522,0,0,0,0.5295849964022636,0.48768000374548137,0.00028300005942583084,1.017265000147745,75,75,19,79.0,79.0
Quick,Quick,default,SinglePreserve,tshift_all_no_incr,2,Failed,93,182014,0,0,0,0.11027499753981829,0.09889900241978467,0.00025599985383450985,0.20917399995960295,84,84,19,88.0,88.0
Quick,Quick,default,SinglePreserve,tshift_all_no_incr,3,Failed,676,1349919,0,0,0,0.8017519891727716,0.7361410108860582,0.00030499999411404133,1.5378930000588298,46,46,19,37.0,37.0
Quick,Quick,default,SinglePreserve,tshift_all_no_incr,4,Failed,36,67796,0,0,0,0.04168800497427583,0.03738399501889944,0.0002810000441968441,0.07907199999317527,55,55,19,52.0,52.0
Quick,Quick,default,SinglePreserve,tshift_all_no_incr,5,Failed,401,810564,0,0,0,0.4830110177863389,0.4391329821664839,0.0004539999645203352,0.9221439999528228,31,31,19,17.0,17.0
