framework,strategy,mode,property,mutation,trial,status,tests,discards,shrinking_passed,shrinking_failed,shrinking_discarded,exec_time_pre,gen_time,time_shrinking,time_pre_failure,pre_size,cex_size,gt_size,pre_ted_to_gt,ted_to_gt
Quick,Quick,none,SinglePreserve,shift_var_all,8,Failed,367614,724925,0,0,0,0.4079500022344291,0.5902659979183227,0.00046099978499114513,0.9982160001527518,20,20,16,4.0,4.0
Quick,Quick,none,SinglePreserve,shift_var_all,9,Failed,751618,1481836,0,0,0,0.8182930569164455,1.1851979431230575,0.0003099997993558645,2.003491000039503,20,20,16,4.0,4.0
Quick,Quick,none,MultiPreserve,shift_var_all,0,Failed,189391,373199,0,0,0,0.22621400677599013,0.3040639932733029,0.0003279999364167452,0.530278000049293,25,25,16,10.0,10.0
Quick,Quick,none,MultiPreserve,shift_var_all,1,Failed,970442,1913592,0,0,0,1.1453610381577164,1.533365961862728,0.0005510000046342611,2.6787270000204444,20,20,16,4.0,4.0
Quick,Quick,none,MultiPreserve,shift_var_all,2,Failed,1847337,3647990,0,0,0,2.1991890042554587,2.9543029956985265,0.000593000091612339,5.153491999953985,36,36,16,20.0,20.0
Quick,Quick,none,MultiPreserve,shift_var_all,3,Failed,1099400,2163931,0,0,0,1.2935710025485605,1.7454149974510074,0.0005399999208748341,3.038985999999568,24,24,16,9.0,9.0
Quick,Quick,none,MultiPreserve,shift_var_all,4,Failed,156715,308450,0,0,0,0.18761399341747165,0.24996300670318305,0.0004610000178217888,0.4375770001206547,16,16,16,1.0,1.0
Quick,Quick,none,MultiPreserve,shift_var_all,5,Failed,391192,771819,0,0,0,0.460929005406797,0.6213119947351515,0.0005259998142719269,1.0822410001419485,24,24,16,9.0,9.0
Quick,Quick,none,MultiPreserve,shift_var_all,6,Failed,227326,450646,0,0,0,0.26919303135946393,0.36152096884325147,0.0005089999176561832,0.6307140002027154,44,44,16,28.0,28.0
Quick,Quick,none,MultiPreserve,shift_var_all,7,Failed,1647074,3246620,0,0,0,1.949578967411071,2.630826032720506,0.0005889998283237219,4.580405000131577,36,36,16,20.0,20.0
Quick,Quick,none,MultiPreserve,shift_var_all,8,Failed,662268,1305031,0,0,0,0.7816030262038112,1.0519209739286453,0.0005349998828023672,1.8335240001324564,21,21,16,5.0,5.0
Quick,Quick,none,MultiPreserve,shift_var_all,9,Failed,909052,1792484,0,0,0,1.082906971918419,1.4581890280824155,0.0004879999905824661,2.5410960000008345,44,44,16,28.0,28.0
Quick,Quick,none,SinglePreserve,shift_var_leq,0,timed_out,,,,,,,0,,,0,0,24,,
Quick,Quick,none,MultiPreserve,shift_var_leq,0,timed_out,,,,,,,0,,,0,0,24,,
Quick,Quick,none,SinglePreserve,shift_abs_no_incr,0,Failed,175015,345669,0,0,0,0.19738398515619335,0.29019601503387094,0.0004999998491257429,0.4875800001900643,25,25,16,9.0,9.0
Quick,Quick,none,SinglePreserve,shift_abs_no_incr,1,Failed,330380,651590,0,0,0,0.36293299426324666,0.5212490058038384,0.00045299995690584183,0.884182000067085,20,20,16,5.0,5.0
Quick,Quick,none,SinglePreserve,shift_abs_no_incr,2,Failed,1545284,3045682,0,0,0,1.6927190322894603,2.455813967855647,0.000547999981790781,4.1485330001451075,36,36,16,20.0,20.0
Quick,Quick,none,SinglePreserve,shift_abs_no_incr,3,Failed,239514,472787,0,0,0,0.26069098827429116,0.37925001163966954,0.0005390001460909843,0.6399409999139607,20,20,16,5.0,5.0
Quick,Quick,none,SinglePreserve,shift_abs_no_incr,4,Failed,2284,4278,0,0,0,0.0025020018219947815,0.004324998008087277,0.00023400015197694304,0.006826999830082059,20,20,16,4.0,4.0
Quick,Quick,none,SinglePreserve,shift_abs_no_incr,5,Failed,1911842,3774033,0,0,0,2.089237896958366,3.0307281031273305,0.0006049999501556158,5.119966000085697,48,48,16,32.0,32.0
Quick,Quick,none,SinglePreserve,shift_abs_no_incr,6,Failed,1290585,2546151,0,0,0,1.4079930617008358,2.043423938099295,0.000556000042706728,3.4514169998001307,20,20,16,5.0,5.0
Quick,Quick,none,SinglePreserve,shift_abs_no_incr,7,Failed,36910,72936,0,0,0,0.0412019994109869,0.058890000684186816,0.0005019998643547297,0.10009200009517372,52,52,16,37.0,37.0
Quick,Quick,none,SinglePreserve,shift_abs_no_incr,8,Failed,1468121,2896465,0,0,0,1.604235015111044,2.3201219849288464,0.0005519997794181108,3.9243570000398904,44,44,16,29.0,29.0
