framework,strategy,mode,property,mutation,trial,status,tests,discards,shrinking_passed,shrinking_failed,shrinking_discarded,exec_time_pre,gen_time,time_shrinking,time_pre_failure,pre_size,cex_size,gt_size,pre_ted_to_gt,ted_to_gt
Quick,Quick,none,InsertDelete,insert_2,9,Failed,3176,7341,0,0,0,0.008001001551747322,0.007115998421795666,0.0003450000658631325,0.015116999973542988,12,12,12,5.0,5.0
Quick,Quick,none,InsertDelete,insert_3,0,Failed,8033548,18089520,0,0,0,17.616782007506117,14.474668992566876,0.0005269999383017421,32.09145100007299,12,12,12,5.0,5.0
Quick,Quick,none,InsertDelete,insert_3,1,Failed,1431625,3232640,0,0,0,3.122076049912721,2.586794950067997,0.0005740000633522868,5.708870999980718,12,12,12,5.0,5.0
Quick,Quick,none,InsertInsert,insert_1,0,Failed,0,0,0,0,0,1.100008375942707e-05,0.00021099997684359548,0.00018400000408291817,0.00022200006060302255,13,13,7,10.0,10.0
Quick,Quick,none,InsertInsert,insert_1,1,Failed,0,4,0,0,0,1.6999896615743637e-05,0.00024100008886307478,0.0001860000193119049,0.0002579999854788184,7,7,7,4.0,4.0
Quick,Quick,none,InsertInsert,insert_1,2,Failed,0,1,0,0,0,1.7000013031065464e-05,0.0003880000440403819,0.00029799994081258774,0.00040500005707144737,7,7,7,4.0,4.0
Quick,Quick,none,InsertInsert,insert_1,3,Failed,0,0,0,0,0,1.1999974958598614e-05,0.00022100005298852923,0.00019699998665601015,0.00023300002794712785,13,13,7,10.0,10.0
Quick,Quick,none,InsertInsert,insert_1,4,Failed,0,3,0,0,0,1.7999904230237007e-05,0.00020300003234297034,0.00019100005738437176,0.00022099993657320735,13,13,7,10.0,10.0
Quick,Quick,none,InsertInsert,insert_1,5,Failed,0,3,0,0,0,1.6999896615743637e-05,0.00021300010848790407,0.00017600005958229303,0.0002300000051036477,7,7,7,4.0,4.0
Quick,Quick,none,InsertInsert,insert_1,6,Failed,0,2,0,0,0,1.6999896615743637e-05,0.00021300010848790407,0.000202000024728477,0.0002300000051036477,7,7,7,4.0,4.0
Quick,Quick,none,InsertInsert,insert_1,7,Failed,0,8,0,0,0,2.100015990436077e-05,0.00022099993657320738,0.00019399996381253004,0.00024200009647756815,7,7,7,4.0,4.0
Quick,Quick,none,InsertInsert,insert_1,8,Failed,0,4,0,0,0,2.2999942302703857e-05,0.00040700007230043417,0.0007579999510198832,0.000430000014603138,7,7,7,4.0,4.0
Quick,Quick,none,InsertInsert,insert_1,9,Failed,0,9,0,0,0,2.4000066332519054e-05,0.00022199994418770075,0.0001949999714270234,0.0002460000105202198,13,13,7,10.0,10.0
Quick,Quick,none,InsertInsert,insert_2,0,Failed,0,3,0,0,0,1.6999896615743637e-05,0.0002530000638216734,0.00021500000730156896,0.00026999996043741703,7,7,7,4.0,4.0
Quick,Quick,none,InsertInsert,insert_2,1,Failed,0,5,0,0,0,2.1000043489038944e-05,0.0001990000018849969,0.00018800003454089165,0.00022000004537403584,7,7,7,4.0,4.0
Quick,Quick,none,InsertInsert,insert_2,2,Failed,0,0,0,0,0,1.2999982573091984e-05,0.00020800007041543722,0.00019399996381253004,0.0002210000529885292,7,7,7,4.0,4.0
Quick,Quick,none,InsertInsert,insert_2,3,Failed,0,1,0,0,0,1.6000005416572094e-05,0.0002370000584051013,0.00022799998987466097,0.0002530000638216734,7,7,7,4.0,4.0
Quick,Quick,none,InsertInsert,insert_2,4,Failed,0,1,0,0,0,1.400010660290718e-05,0.00019299983978271482,0.00019200006499886513,0.000206999946385622,7,7,7,4.0,4.0
Quick,Quick,none,InsertInsert,insert_2,5,Failed,0,1,0,0,0,1.9999919459223747e-05,0.0002610000083222985,0.00020600005518645048,0.0002809999277815223,7,7,7,4.0,4.0
Quick,Quick,none,InsertInsert,insert_2,6,Failed,0,0,0,0,0,1.4999997802078724e-05,0.00021500000730156898,0.00019799999427050352,0.0002300000051036477,7,7,7,4.0,4.0
Quick,Quick,none,InsertInsert,insert_2,7,Failed,0,0,0,0,0,1.2999982573091984e-05,0.00020400003995746374,0.00030499999411404133,0.00021700002253055573,7,7,7,4.0,4.0
Quick,Quick,none,InsertInsert,insert_2,8,Failed,0,1,0,0,0,1.6000005416572094e-05,0.0001949999714270234,0.0001889999257400632,0.0002109999768435955,7,7,7,4.0,4.0
Quick,Quick,none,InsertInsert,insert_2,9,Failed,0,2,0,0,0,1.800013706088066e-05,0.00022599985823035237,0.0002210000529885292,0.00024399999529123304,7,7,7,4.0,4.0
Quick,Quick,none,InsertModel,insert_1,0,Failed,1,1,0,0,0,4.7999899834394455e-05,0.00020700006280094385,0.0001959999790415168,0.0002549999626353383,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_1,1,Failed,7,7,0,0,0,2.6999972760677338e-05,0.0002109999768435955,0.00020100001711398363,0.00023799994960427284,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_1,2,Failed,1,10,0,0,0,3.4000142477452755e-05,0.00024999992456287146,0.0002559999702498317,0.0002840000670403242,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_1,3,Failed,8,17,0,0,0,3.8000172935426235e-05,0.0003339998656883836,0.00021500000730156896,0.0003720000386238098,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_1,4,Failed,5,15,0,0,0,3.300001844763756e-05,0.00021099997684359548,0.00019099994096904993,0.00024399999529123304,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_1,5,Failed,4,12,0,0,0,2.8000096790492535e-05,0.00021499989088624716,0.00018900004215538504,0.0002429999876767397,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_1,6,Failed,0,3,0,0,0,2.3000058718025684e-05,0.00020899996161460876,0.0002109999768435955,0.00023200002033263445,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_1,7,Failed,0,0,0,0,0,1.9000028260052204e-05,0.00025699997786432505,0.0001990000018849969,0.00027600000612437725,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_1,8,Failed,0,0,0,0,0,1.7000013031065464e-05,0.00023999996483325958,0.00021600001491606236,0.00025699997786432505,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_1,9,Failed,2,21,0,0,0,3.50000336766243e-05,0.0002169999061152339,0.0001959999790415168,0.0002519999397918582,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_2,0,Failed,14,37,0,0,0,8.100003469735384e-05,0.00026599992997944355,0.00022500008344650269,0.0003469999646767974,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_2,1,Failed,2,4,0,0,0,2.7000089175999165e-05,0.00021499989088624716,0.0001990000018849969,0.00024199998006224632,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_2,2,Failed,27,72,0,0,0,7.800024468451738e-05,0.00025899976026266813,0.0001949999714270234,0.0003370000049471855,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_2,3,Failed,10,33,0,0,0,5.000003147870302e-05,0.00024999992456287146,0.0002460000105202198,0.0002999999560415745,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_2,4,Failed,10,16,0,0,0,4.199997056275606e-05,0.0002210000529885292,0.00020300003234297037,0.00026300002355128527,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_2,5,Failed,0,2,0,0,0,2.3000058718025684e-05,0.0002000000094994903,0.00019099994096904993,0.00022300006821751597,23,23,11,16.0,16.0
Quick,Quick,none,InsertModel,insert_2,6,Failed,2,0,0,0,0,2.0999927073717117e-05,0.00022900011390447617,0.00021700002253055573,0.0002500000409781933,17,17,11,10.0,10.0
Quick,Quick,none,InsertModel,insert_2,7,Failed,1,0,0,0,0,1.8000020645558834e-05,0.00019399996381253004,0.00019399996381253004,0.00021199998445808887,17,17,11,10.0,10.0
Quick,Quick,none,InsertModel,insert_2,8,Failed,0,2,0,0,0,2.3999949917197227e-05,0.0002120001008734107,0.0002399999648332596,0.00023600005079060793,17,17,11,10.0,10.0
Quick,Quick,none,InsertModel,insert_2,9,Failed,4,13,0,0,0,3.4999800845980644e-05,0.00022300018463283777,0.00018100009765475988,0.0002579999854788184,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_3,0,Failed,6516,14916,0,0,0,0.014295000699348748,0.012343999347649515,0.000291000003926456,0.026639000046998262,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_3,1,Failed,4732,10520,0,0,0,0.010587000753730536,0.008749999338760972,0.00023499992676079273,0.019337000092491508,23,23,11,16.0,16.0
Quick,Quick,none,InsertModel,insert_3,2,Failed,21160,48241,0,0,0,0.06098300183657557,0.06827899813652039,0.0006059999577701092,0.12926199997309595,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_3,3,Failed,34824,77755,0,0,0,0.06966599333100021,0.06390500674024224,0.0005210000090301037,0.13357100007124245,17,17,11,10.0,10.0
Quick,Quick,none,InsertModel,insert_3,4,Failed,12026,27040,0,0,0,0.02469300664961338,0.022093993378803134,0.00045499997213482857,0.046787000028416514,17,17,11,10.0,10.0
Quick,Quick,none,InsertModel,insert_3,5,Failed,17555,39231,0,0,0,0.03696500125806779,0.03195999877061695,0.0004929999122396111,0.06892500002868474,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_3,6,Failed,10771,24431,0,0,0,0.022129001445136964,0.0200369986705482,0.0005119999404996634,0.042166000115685165,17,17,11,10.0,10.0
Quick,Quick,none,InsertModel,insert_3,7,Failed,1779,3794,0,0,0,0.004114999552257359,0.0033200003672391176,0.00023500004317611456,0.007434999919496477,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_3,8,Failed,3431,7665,0,0,0,0.007146998890675604,0.006832001148723066,0.0002300000051036477,0.01397900003939867,11,11,11,4.0,4.0
Quick,Quick,none,InsertModel,insert_3,9,Failed,10846,24606,0,0,0,0.024030002648942173,0.02016599732451141,0.0004959999350830913,0.04419599997345358,11,11,11,4.0,4.0
Quick,Quick,none,InsertPost,insert_1,0,Failed,12201,27333,0,0,0,0.026946002850309014,0.025665997178293765,0.000328000052832067,0.05261200002860278,18,18,12,11.0,11.0
Quick,Quick,none,InsertPost,insert_1,1,Failed,3644,8344,0,0,0,0.008209001854993403,0.007474998128600419,0.00023800006601959467,0.01568399998359382,18,18,12,11.0,11.0
Quick,Quick,none,InsertPost,insert_1,2,Failed,4254,9530,0,0,0,0.009280000464059412,0.008350999560207129,0.000219999928958714,0.01763100002426654,12,12,12,5.0,5.0
Quick,Quick,none,InsertPost,insert_1,3,Failed,1095,2452,0,0,0,0.0025389984948560596,0.0024910015054047108,0.00019200006499886513,0.00503000000026077,12,12,12,5.0,5.0
