ts pid rss_mb vsz_mb pcpu pmem cmd
22:55:09 45266 2403.8 1449242.8 55.9 14.7 ./bin/rbt
22:55:14 45266 2470.5 1449242.8 71.5 15.1 ./bin/rbt
22:55:19 45266 2619.8 1449242.8 49.6 16.0 ./bin/rbt
22:55:24 45266 2434.2 1449242.8 55.4 14.9 ./bin/rbt
22:55:29 45266 2281.6 1449242.8 35.3 13.9 ./bin/rbt
22:55:34 45266 2244.4 1449242.8 35.1 13.7 ./bin/rbt
22:55:39 45266 1928.3 1449242.8 35.6 11.8 ./bin/rbt
22:55:44 45266 1599.6 1449242.8 38.1 9.8 ./bin/rbt
22:55:49 45266 1739.0 1449242.8 33.9 10.6 ./bin/rbt
22:55:54 45266 1890.0 1449242.8 37.2 11.5 ./bin/rbt
22:55:59 45266 2322.1 1449242.8 38.6 14.2 ./bin/rbt
22:56:04 45266 2258.7 1449242.8 46.4 13.8 ./bin/rbt
22:56:09 45266 2477.8 1449242.8 41.3 15.1 ./bin/rbt
22:56:14 45266 2493.2 1449242.8 51.9 15.2 ./bin/rbt
22:56:19 45266 2643.3 1449242.8 51.5 16.1 ./bin/rbt
22:56:24 45266 2265.3 1449242.8 47.3 13.8 ./bin/rbt
22:56:29 45266 2506.1 1449242.8 43.1 15.3 ./bin/rbt
22:56:34 45266 2547.1 1449242.8 45.9 15.5 ./bin/rbt
22:56:39 45266 2428.6 1449242.8 39.9 14.8 ./bin/rbt
22:56:44 45266 2461.6 1449242.8 35.4 15.0 ./bin/rbt
22:56:49 45266 2419.3 1449242.8 28.3 14.8 ./bin/rbt
22:56:54 45266 2011.3 1449242.8 38.9 12.3 ./bin/rbt
22:56:59 45266 2051.5 1449242.8 37.1 12.5 ./bin/rbt
22:57:04 45266 1454.5 1449242.8 37.5 8.9 ./bin/rbt
22:57:10 45266 1441.5 1449242.8 45.9 8.8 ./bin/rbt
22:57:15 45266 1530.8 1449242.8 42.1 9.3 ./bin/rbt
22:57:20 45266 1593.7 1449242.8 44.9 9.7 ./bin/rbt
22:57:25 45266 1976.0 1449242.8 50.2 12.1 ./bin/rbt
22:57:30 45266 2264.0 1449242.8 27.5 13.8 ./bin/rbt
22:57:35 45266 2236.4 1449242.8 28.1 13.7 ./bin/rbt
22:57:40 45266 2195.3 1449242.8 29.2 13.4 ./bin/rbt
22:57:45 45266 1884.4 1449242.8 6.6 11.5 ./bin/rbt
22:57:50 45266 1688.8 1449242.8 25.4 10.3 ./bin/rbt
22:57:55 45266 1860.0 1449242.8 25.9 11.4 ./bin/rbt
22:58:00 45266 1850.2 1449242.8 25.0 11.3 ./bin/rbt
22:58:05 45266 1544.3 1449242.8 14.1 9.4 ./bin/rbt
22:58:10 45266 1704.5 1449242.8 40.7 10.4 ./bin/rbt
22:58:15 45266 1758.9 1449242.8 37.4 10.7 ./bin/rbt
22:58:20 45266 1914.2 1449242.8 32.6 11.7 ./bin/rbt
22:58:25 45266 2083.6 1449242.8 35.0 12.7 ./bin/rbt
22:58:30 45266 2202.3 1449242.8 49.3 13.4 ./bin/rbt
22:58:35 45266 2069.7 1449242.8 33.1 12.6 ./bin/rbt
22:58:40 45266 1999.6 1449242.8 37.1 12.2 ./bin/rbt
22:58:45 45266 2223.5 1449242.8 42.0 13.6 ./bin/rbt
22:58:50 45266 1488.0 1449242.8 42.6 9.1 ./bin/rbt
22:58:55 45266 1969.5 1449242.8 34.0 12.0 ./bin/rbt
